ID рк,Тип рк,Артикул WB,Название,Дата,Просмотры,Клики,Заказы,Сумма трат,CPC,CTR
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-03-31,144,0,0,44.79,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-01,78,0,0,24.26,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-02,9,0,0,2.80,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-03,9,0,0,2.80,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-04,11,0,0,3.42,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-05,9,0,0,2.79,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-06,6,0,0,1.87,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-07,6,0,0,2.02,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-08,5,0,0,1.75,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-09,26,0,0,14.14,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-10,9,0,0,5.04,0.00,0.00
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-17,433,2,0,240.80,120.40,0.46
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-18,893,14,0,498.40,35.60,1.57
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-19,686,12,0,381.81,31.82,1.75
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-20,1254,19,2,697.54,36.71,1.52
24391835,9,,Ю 0027ZVPM3 Автозаряд М3 Поиск от 31.03.2025,2025-04-21,321,3,1,179.76,59.92,0.00
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-03-31,1035,12,0,153.48,12.79,1.16
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-01,1114,43,0,164.33,3.82,3.86
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-02,2028,46,1,558.03,12.13,2.27
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-03,1677,36,1,479.24,13.31,2.15
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-04,1386,24,0,392.10,16.34,1.73
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-05,1713,40,0,489.17,12.23,2.34
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-06,2092,41,0,576.89,14.07,1.96
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-07,1816,38,0,509.35,13.40,2.09
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-08,2089,46,0,718.44,15.62,2.20
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-09,2145,58,2,758.48,13.08,2.70
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-10,1845,32,1,652.88,20.40,1.73
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-11,1435,21,0,503.67,23.98,1.46
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-12,1444,33,1,476.23,14.43,2.29
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-13,1645,49,1,557.97,11.39,2.98
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-14,2494,37,4,1238.00,33.46,1.48
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-15,4598,72,0,3539.28,49.16,1.57
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-16,2725,50,0,1359.44,27.19,1.83
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-17,2544,39,0,873.93,22.41,1.53
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-18,1879,43,1,575.29,13.38,2.29
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-19,1815,38,1,557.77,14.68,2.09
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-20,2711,59,2,820.30,13.90,2.18
24391686,8,,0021UZOS3 Отпугиватель мопс АРК от 31.03.2025,2025-04-21,3058,66,0,936.90,14.20,0.00
23166165,9,,Ю Зеркало белое х10 поиск 10.02.2025,2025-04-02,1,0,0,0.15,0.00,0.00
23166165,9,,Ю Зеркало белое х10 поиск 10.02.2025,2025-04-08,1,0,0,0.15,0.00,0.00
23166165,9,,Ю Зеркало белое х10 поиск 10.02.2025,2025-04-12,1,0,0,0.15,0.00,0.00
23166165,9,,Ю Зеркало белое х10 поиск 10.02.2025,2025-04-13,2,0,0,0.30,0.00,0.00
23166165,9,,Ю Зеркало белое х10 поиск 10.02.2025,2025-04-14,1,0,0,0.15,0.00,0.00
23166165,9,,Ю Зеркало белое х10 поиск 10.02.2025,2025-04-15,1,0,0,0.15,0.00,0.00
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-03-31,3565,49,4,1788.55,36.50,1.37
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-01,3924,70,5,2033.80,29.05,1.78
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-02,2852,37,4,1479.85,40.00,1.30
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-03,4213,51,1,2327.97,45.65,1.21
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-04,5478,94,5,3021.10,32.14,1.72
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-05,6940,91,6,3821.90,42.00,1.31
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-06,2612,47,1,1341.45,28.54,1.80
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-07,5977,80,2,3176.54,39.71,1.34
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-08,6080,68,4,3222.44,47.39,1.12
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-09,2137,26,2,1096.63,42.18,1.22
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-10,6063,78,3,3242.31,41.57,1.29
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-11,5966,85,1,3171.56,37.31,1.42
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-12,8136,91,1,4367.85,48.00,1.12
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-13,5536,65,3,2896.57,44.56,1.17
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-14,3975,42,2,2127.90,50.66,1.06
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-15,6932,82,10,3640.50,44.40,1.18
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-16,8186,88,9,4265.52,48.47,1.08
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-17,9658,107,5,5130.48,47.95,1.11
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-18,8752,74,7,4833.49,65.32,0.85
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-19,9014,81,3,4957.69,61.21,0.90
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-20,9936,111,5,5388.61,48.55,1.12
24051492,8,,0012ELTU52 переходник АРК 18.03.2025,2025-04-21,5777,43,5,2767.14,64.35,0.00
24892072,8,,0012GEN42 разветвитель АРК от 18.04.2025,2025-04-18,31,0,0,5.41,0.00,0.00
24892072,8,,0012GEN42 разветвитель АРК от 18.04.2025,2025-04-19,63,1,0,11.58,11.58,1.59
24892072,8,,0012GEN42 разветвитель АРК от 18.04.2025,2025-04-20,65,0,0,11.81,0.00,0.00
24892072,8,,0012GEN42 разветвитель АРК от 18.04.2025,2025-04-21,51,1,0,9.04,9.04,0.00
22538827,9,,Сумка 1 Поиск от 13.01.2025,2025-03-31,76,5,0,40.36,8.07,0.01
22537720,9,,Ю Переходник с креплением Поиск от 13.01.2025,2025-04-16,424,8,0,202.25,25.28,1.89
22537720,9,,Ю Переходник с креплением Поиск от 13.01.2025,2025-04-17,506,19,0,241.65,12.72,3.75
22537720,9,,Ю Переходник с креплением Поиск от 13.01.2025,2025-04-18,114,3,0,54.54,18.18,2.63
22537720,9,,Ю Переходник с креплением Поиск от 13.01.2025,2025-04-19,1,0,0,0.48,0.00,0.00
22538070,9,,Зарядка Поиск от 13.01.2025,2025-03-31,30,0,0,7.52,0.00,0.00
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-01,31,1,0,7.78,7.78,3.23
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-02,21,0,0,5.26,0.00,0.00
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-03,44,0,0,11.04,0.00,0.00
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-04,16,1,0,4.02,4.02,6.25
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-05,1,0,0,0.25,0.00,0.00
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-06,21,2,0,5.27,2.64,9.52
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-07,21,3,0,5.27,1.76,14.29
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-14,199,5,1,49.65,9.93,2.51
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-15,108,1,0,27.10,27.10,0.93
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-19,45,0,0,11.00,0.00,0.00
22538070,9,,Зарядка Поиск от 13.01.2025,2025-04-20,52,0,0,13.05,0.00,0.00
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-03-31,432,9,0,64.80,7.20,2.08
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-01,540,18,0,81.00,4.50,3.33
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-02,611,14,0,91.65,6.55,2.29
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-03,594,16,0,89.10,5.57,2.69
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-04,524,13,0,78.60,6.05,2.48
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-05,672,19,1,100.80,5.31,2.83
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-06,261,6,0,39.15,6.53,2.30
22535954,9,,Ю Кружка 2 Поиск  от 13.01.2025,2025-04-13,1,0,0,0.15,0.00,0.00
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-03-31,222,16,0,46.85,2.93,7.21
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-01,196,12,0,41.36,3.45,6.12
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-02,215,10,0,45.37,4.54,4.65
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-03,219,21,0,46.21,2.20,9.59
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-04,347,14,0,73.22,5.23,4.03
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-05,395,23,0,83.35,3.62,5.82
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-06,433,21,0,91.37,4.35,4.85
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-07,391,21,0,82.50,3.93,5.37
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-08,374,28,0,78.92,2.82,7.49
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-09,371,22,0,78.28,3.56,5.93
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-10,424,32,0,89.22,2.79,7.55
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-11,409,26,0,86.30,3.32,6.36
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-12,446,29,0,94.11,3.25,6.50
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-13,505,38,0,106.55,2.80,7.52
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-14,416,17,0,87.15,5.13,4.09
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-15,436,27,0,91.49,3.39,6.19
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-16,465,22,0,96.72,4.40,4.73
22429168,9,,Ю Наушники бежевые поиск  06.01.2025,2025-04-17,355,19,0,74.15,3.90,5.35
